source_1,source_2,axe,description,criticite
PROJ531_CM,PROJ531_IDU,normalisation_codes,Le module 'PROJ531' est nommé 'PROJ531_CM' dans ADE au lieu de 'PROJ531_IDU_CM' (forme cohérente avec la maquette),majeur
DATA832_INGE_TD,DATA832_IDU,normalisation_codes,Le module 'DATA832' est nommé 'DATA832_INGE_TD' dans ADE au lieu de 'DATA832_IDU_INGE_TD' (forme cohérente avec la maquette),majeur
INFO633_P03_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_P03_G1' dans ADE au lieu de 'INFO633_IDU_P03_G1' (forme cohérente avec la maquette),majeur
PROJ932_TP,PROJ932_IDU,normalisation_codes,Le module 'PROJ932' est nommé 'PROJ932_TP' dans ADE au lieu de 'PROJ932_IDU_TP' (forme cohérente avec la maquette),majeur
ISOC831_Sopra_Urba_Archi,ISOC831_IDU,normalisation_codes,Le module 'ISOC831' est nommé 'ISOC831_Sopra_Urba_Archi' dans ADE au lieu de 'ISOC831_IDU_Sopra_Urba_Archi' (forme cohérente avec la maquette),majeur
INFO631_INGE_TDG,INFO631_IDU,normalisation_codes,Le module 'INFO631' est nommé 'INFO631_INGE_TDG' dans ADE au lieu de 'INFO631_IDU_INGE_TDG' (forme cohérente avec la maquette),majeur
ISOC631_INGE_TPG1,ISOC631_IDU,normalisation_codes,Le module 'ISOC631' est nommé 'ISOC631_INGE_TPG1' dans ADE au lieu de 'ISOC631_IDU_INGE_TPG1' (forme cohérente avec la maquette),majeur
INFO633_A10_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A10_G2' dans ADE au lieu de 'INFO633_IDU_A10_G2' (forme cohérente avec la maquette),majeur
INFO502_Ex,INFO502_IDU,normalisation_codes,Le module 'INFO502' est nommé 'INFO502_Ex' dans ADE au lieu de 'INFO502_IDU_Ex' (forme cohérente avec la maquette),majeur
INFO833_INGE_CM,INFO833_IDU,normalisation_codes,Le module 'INFO833' est nommé 'INFO833_INGE_CM' dans ADE au lieu de 'INFO833_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
ISOC731_INGE_CM,ISOC731_IDU,normalisation_codes,Le module 'ISOC731' est nommé 'ISOC731_INGE_CM' dans ADE au lieu de 'ISOC731_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
INFO734_INGE_CM,INFO734_IDU,normalisation_codes,Le module 'INFO734' est nommé 'INFO734_INGE_CM' dans ADE au lieu de 'INFO734_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
INFO731_INGE_Proj,INFO731_IDU,normalisation_codes,Le module 'INFO731' est nommé 'INFO731_INGE_Proj' dans ADE au lieu de 'INFO731_IDU_INGE_Proj' (forme cohérente avec la maquette),majeur
INFO731_INGE_TDTP,INFO731_IDU,normalisation_codes,Le module 'INFO731' est nommé 'INFO731_INGE_TDTP' dans ADE au lieu de 'INFO731_IDU_INGE_TDTP' (forme cohérente avec la maquette),majeur
INFO734_INGE_Proj,INFO734_IDU,normalisation_codes,Le module 'INFO734' est nommé 'INFO734_INGE_Proj' dans ADE au lieu de 'INFO734_IDU_INGE_Proj' (forme cohérente avec la maquette),majeur
PROJ932_Intro,PROJ932_IDU,normalisation_codes,Le module 'PROJ932' est nommé 'PROJ932_Intro' dans ADE au lieu de 'PROJ932_IDU_Intro' (forme cohérente avec la maquette),majeur
INFO633_A06_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A06_G1' dans ADE au lieu de 'INFO633_IDU_A06_G1' (forme cohérente avec la maquette),majeur
INFO832_INGE_TD,INFO832_IDU,normalisation_codes,Le module 'INFO832' est nommé 'INFO832_INGE_TD' dans ADE au lieu de 'INFO832_IDU_INGE_TD' (forme cohérente avec la maquette),majeur
INFO501_ET_2emeSession,INFO501_IDU,normalisation_codes,Le module 'INFO501' est nommé 'INFO501_ET_2emeSession' dans ADE au lieu de 'INFO501_IDU_ET_2emeSession' (forme cohérente avec la maquette),majeur
INFO633_A07_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A07_G2' dans ADE au lieu de 'INFO633_IDU_A07_G2' (forme cohérente avec la maquette),majeur
INFO633_A15_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A15_G2' dans ADE au lieu de 'INFO633_IDU_A15_G2' (forme cohérente avec la maquette),majeur
DATA731_INGE_TP1,DATA731_IDU,normalisation_codes,Le module 'DATA731' est nommé 'DATA731_INGE_TP1' dans ADE au lieu de 'DATA731_IDU_INGE_TP1' (forme cohérente avec la maquette),majeur
INFO631_INGE_TPG1,INFO631_IDU,normalisation_codes,Le module 'INFO631' est nommé 'INFO631_INGE_TPG1' dans ADE au lieu de 'INFO631_IDU_INGE_TPG1' (forme cohérente avec la maquette),majeur
INFO832_INGE_TP1,INFO832_IDU,normalisation_codes,Le module 'INFO832' est nommé 'INFO832_INGE_TP1' dans ADE au lieu de 'INFO832_IDU_INGE_TP1' (forme cohérente avec la maquette),majeur
MATH531_TPG2,MATH531_IDU,normalisation_codes,Le module 'MATH531' est nommé 'MATH531_TPG2' dans ADE au lieu de 'MATH531_IDU_TPG2' (forme cohérente avec la maquette),majeur
INFO633_CC1_Tiers-temps,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_CC1_Tiers-temps' dans ADE au lieu de 'INFO633_IDU_CC1_Tiers-temps' (forme cohérente avec la maquette),majeur
INFO633_A08_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A08_G2' dans ADE au lieu de 'INFO633_IDU_A08_G2' (forme cohérente avec la maquette),majeur
INFO633_A01_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A01_G2' dans ADE au lieu de 'INFO633_IDU_A01_G2' (forme cohérente avec la maquette),majeur
INFO632_INGE_TPG2,INFO632_IDU,normalisation_codes,Le module 'INFO632' est nommé 'INFO632_INGE_TPG2' dans ADE au lieu de 'INFO632_IDU_INGE_TPG2' (forme cohérente avec la maquette),majeur
PROJ632_INGE_TDG_8_2h,PROJ632_IDU,normalisation_codes,Le module 'PROJ632' est nommé 'PROJ632_INGE_TDG_8_2h' dans ADE au lieu de 'PROJ632_IDU_INGE_TDG_8_2h' (forme cohérente avec la maquette),majeur
DATA732_INGE_CM,DATA732_IDU,normalisation_codes,Le module 'DATA732' est nommé 'DATA732_INGE_CM' dans ADE au lieu de 'DATA732_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
ISOC931_TP,ISOC931_IDU,normalisation_codes,Le module 'ISOC931' est nommé 'ISOC931_TP' dans ADE au lieu de 'ISOC931_IDU_TP' (forme cohérente avec la maquette),majeur
TP INFO932,INFO932_IDU,normalisation_codes,Le module 'INFO932' est nommé 'TP INFO932' dans ADE au lieu de 'TP INFO932_IDU' (forme cohérente avec la maquette),majeur
INFO732_INGE_TP1,INFO732_IDU,normalisation_codes,Le module 'INFO732' est nommé 'INFO732_INGE_TP1' dans ADE au lieu de 'INFO732_IDU_INGE_TP1' (forme cohérente avec la maquette),majeur
INFO832_INGE_TPTD,INFO832_IDU,normalisation_codes,Le module 'INFO832' est nommé 'INFO832_INGE_TPTD' dans ADE au lieu de 'INFO832_IDU_INGE_TPTD' (forme cohérente avec la maquette),majeur
INFO633_P04_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_P04_G2' dans ADE au lieu de 'INFO633_IDU_P04_G2' (forme cohérente avec la maquette),majeur
ISOC931_CM,ISOC931_IDU,normalisation_codes,Le module 'ISOC931' est nommé 'ISOC931_CM' dans ADE au lieu de 'ISOC931_IDU_CM' (forme cohérente avec la maquette),majeur
DATA832_INGE_TPTD_2h,DATA832_IDU,normalisation_codes,Le module 'DATA832' est nommé 'DATA832_INGE_TPTD_2h' dans ADE au lieu de 'DATA832_IDU_INGE_TPTD_2h' (forme cohérente avec la maquette),majeur
ISOC831_Sopra_Consultant,ISOC831_IDU,normalisation_codes,Le module 'ISOC831' est nommé 'ISOC831_Sopra_Consultant' dans ADE au lieu de 'ISOC831_IDU_Sopra_Consultant' (forme cohérente avec la maquette),majeur
INFO633_P03_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_P03_G2' dans ADE au lieu de 'INFO633_IDU_P03_G2' (forme cohérente avec la maquette),majeur
ISOC531_TPG1,ISOC531_IDU,normalisation_codes,Le module 'ISOC531' est nommé 'ISOC531_TPG1' dans ADE au lieu de 'ISOC531_IDU_TPG1' (forme cohérente avec la maquette),majeur
INFO633_A09_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A09_G1' dans ADE au lieu de 'INFO633_IDU_A09_G1' (forme cohérente avec la maquette),majeur
TP INFO931,INFO931_IDU,normalisation_codes,Le module 'INFO931' est nommé 'TP INFO931' dans ADE au lieu de 'TP INFO931_IDU' (forme cohérente avec la maquette),majeur
INFO834_INGE_TP1,INFO834_IDU,normalisation_codes,Le module 'INFO834' est nommé 'INFO834_INGE_TP1' dans ADE au lieu de 'INFO834_IDU_INGE_TP1' (forme cohérente avec la maquette),majeur
INFO633_A13_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A13_G1' dans ADE au lieu de 'INFO633_IDU_A13_G1' (forme cohérente avec la maquette),majeur
INFO633_A12_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A12_G2' dans ADE au lieu de 'INFO633_IDU_A12_G2' (forme cohérente avec la maquette),majeur
INFO633_CC4_Tiers-temps,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_CC4_Tiers-temps' dans ADE au lieu de 'INFO633_IDU_CC4_Tiers-temps' (forme cohérente avec la maquette),majeur
INFO831_INGE_TD,INFO831_IDU,normalisation_codes,Le module 'INFO831' est nommé 'INFO831_INGE_TD' dans ADE au lieu de 'INFO831_IDU_INGE_TD' (forme cohérente avec la maquette),majeur
INFO633_A06_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A06_G2' dans ADE au lieu de 'INFO633_IDU_A06_G2' (forme cohérente avec la maquette),majeur
INFO632_INGE_TDG,INFO632_IDU,normalisation_codes,Le module 'INFO632' est nommé 'INFO632_INGE_TDG' dans ADE au lieu de 'INFO632_IDU_INGE_TDG' (forme cohérente avec la maquette),majeur
INFO632_INGE_CM,INFO632_IDU,normalisation_codes,Le module 'INFO632' est nommé 'INFO632_INGE_CM' dans ADE au lieu de 'INFO632_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
INFO633_P04_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_P04_G1' dans ADE au lieu de 'INFO633_IDU_P04_G1' (forme cohérente avec la maquette),majeur
DATA931_TP,DATA931_IDU,normalisation_codes,Le module 'DATA931' est nommé 'DATA931_TP' dans ADE au lieu de 'DATA931_IDU_TP' (forme cohérente avec la maquette),majeur
INFO633_A11_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A11_G2' dans ADE au lieu de 'INFO633_IDU_A11_G2' (forme cohérente avec la maquette),majeur
INFO731_INGE_CM,INFO731_IDU,normalisation_codes,Le module 'INFO731' est nommé 'INFO731_INGE_CM' dans ADE au lieu de 'INFO731_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
MATH531_TDG_1-5,MATH531_IDU,normalisation_codes,Le module 'MATH531' est nommé 'MATH531_TDG_1-5' dans ADE au lieu de 'MATH531_IDU_TDG_1-5' (forme cohérente avec la maquette),majeur
INFO633_CC1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_CC1' dans ADE au lieu de 'INFO633_IDU_CC1' (forme cohérente avec la maquette),majeur
INFO834_INGE_CM,INFO834_IDU,normalisation_codes,Le module 'INFO834' est nommé 'INFO834_INGE_CM' dans ADE au lieu de 'INFO834_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
PROJ531_TDG_3,PROJ531_IDU,normalisation_codes,Le module 'PROJ531' est nommé 'PROJ531_TDG_3' dans ADE au lieu de 'PROJ531_IDU_TDG_3' (forme cohérente avec la maquette),majeur
